,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
72,Logistik-Initiative Hamburg Management GmbH,"Logistik-Initiative Hamburg Management GmbH is located in Hamburg, Hamburg, Germany and is part of the Freight Transportation Arrangement Industry. Logistik-Initiative Hamburg Management GmbH has       16 employees at this location and generates $1.40 million in sales (USD). (Sales figure is estimated). ",16,$1.40 million,2,2.72
73,meteolytix GmbH,"meteolytix GmbH is located in Kiel, Schleswig-Holstein, Germany and is part of the Computer Systems Design and Related Services Industry. meteolytix GmbH has        5 employees at this location and generates $295,045 in sales (USD). (Sales figure is estimated). There are        2 companies in the meteolytix GmbH corporate family.",5,"$295,045",3,2.35
74,ifp Software GmbH,"ifp Software GmbH is located in Aachen, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. ifp Software GmbH has        2 total employees across all of its locations and generates $123,919 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",2,"$123,919",3,2.35
75,NEXT Data Service AG,"NEXT Data Service AG is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. NEXT Data Service AG has       10 employees at this location and generates $921,000 in sales (USD). (Sales figure is modelled). ",10,"$921,000",3,2.35
76,Birds on Mars GmbH,"Birds on Mars GmbH is located in Berlin, Berlin, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. Birds on Mars GmbH has       10 employees at this location and generates $1.30 million in sales (USD). (Sales figure is modelled). ",10,$1.30 million,3,2.23
77,TWAICE Technologies GmbH,"TWAICE Technologies GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. TWAICE Technologies GmbH has       50 employees at this location and generates $4.00 million in sales (USD). (Sales figure is modelled). ",50,$4.00 million,1,2.35
79,KROHNE Messtechnik GmbH,"KROHNE Messtechnik GmbH is located in Duisburg, Nordrhein-Westfalen, Germany and is part of the Navigational, Measuring, Electromedical, and Control Instruments Manufacturing Industry. KROHNE Messtechnik GmbH has      800 employees at this location and generates $171.29 million in sales (USD).  There are       55 companies in the KROHNE Messtechnik GmbH corporate family.",800,$171.29 million,1,2.48
83,Landesbetrieb Verkehr,"Landesbetrieb Verkehr is located in Hamburg, Hamburg, Germany and is part of the Executive, Legislative, and Other General Government Support Industry. Landesbetrieb Verkehr has        7 total employees across all of its locations and generates $253,000 in sales (USD). (Employees and Sales figures are modelled). ",7,"$253,000",,
84,Universität Bayreuth,"Universität Bayreuth is located in Bayreuth, Bayern, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität Bayreuth has    2,462 employees at this location and generates $234.77 million in sales (USD). (Sales figure is modelled). There are        9 companies in the Universität Bayreuth corporate family.","2,462",$234.77 million,3,2.23
86,Universitätsklinikum Jena,"Universitätsklinikum Jena is located in Jena, Thüringen, Germany and is part of the General Medical and Surgical Hospitals Industry. Universitätsklinikum Jena has    5,000 employees at this location and generates $371.48 million in sales (USD). (Sales figure is modelled). There are        9 companies in the Universitätsklinikum Jena corporate family.","5,000",$371.48 million,1,1.72
