,twitter_handle,Tweets,Likes
300,KUKA_Press,"2,100 Tweets",1468
301,landescloud,1 Tweet,0
302,Nan,Nan,Nan
303,finedev,36 Tweets,7
304,htw,"1,325 Tweets",131
305,ZBW_news,10.2K Tweets,306
306,presseunikassel,"2,289 Tweets",653
307,IZWberlin,877 Tweets,1092
308,lengooTweets,755 Tweets,460
309,Leverton,"1,668 Tweets",850
310,logarithmo_gmbh,21 Tweets,64
311,VisionImpulse,15 Tweets,1
312,The_LIHH,440 Tweets,731
313,luminovo,110 Tweets,45
314,DeepLcom,222 Tweets,841
315,moss_sh,417 Tweets,200
316,MagazinoGmbH,830 Tweets,182
317,haraldstelzer,61 Tweets,0
318,Nan,Nan,Nan
319,KICampus,804 Tweets,3332
320,MAN_Group,"4,668 Tweets",1667
321,mapegy,749 Tweets,153
322,maxplanckpress,20.3K Tweets,9361
323,maxplanckpress,20.3K Tweets,9361
324,Nan,Nan,Nan
325,MechLabEng,268 Tweets,50
326,Nan,Nan,Nan
327,micropsi,107 Tweets,19
328,felixfaber_ai,14 Tweets,7
329,TextilVernetzt,"2,570 Tweets",5815
330,gestaltrobotics,424 Tweets,263
331,moberries,"1,147 Tweets",629
332,Monitor_Fish,23 Tweets,55
333,motionscloud,"1,580 Tweets",1362
334,Nan,Nan,Nan
335,servicetrace,920 Tweets,195
336,nerian_vision,172 Tweets,36
337,UniPassau,"5,398 Tweets",516
338,nyrisio,81 Tweets,43
339,idw_online_en,19.2K Tweets,0
340,Nan,Nan,Nan
341,Nan,Nan,Nan
342,KUKA_Press,"2,100 Tweets",1468
343,eodaGmbH,"1,522 Tweets",420
344,OMQ_AI,"1,065 Tweets",413
345,Glanos1,18 Tweets,0
346,opdi_tex_GmbH,371 Tweets,550
347,Nan,Nan,Nan
348,OrbicaGIS,343 Tweets,260
349,othoz_gmbh,3 Tweets,41
350,Nan,Nan,Nan
351,PairFinance,275 Tweets,233
352,pandatechtz,12 Tweets,9
353,Nan,Nan,Nan
354,HSKempten,624 Tweets,28
355,semvox,0 Tweets,0
356,VIER_Germany,620 Tweets,588
357,Nan,Nan,Nan
358,ScoutingTool,4 Tweets,22
359,Nan,Nan,Nan
360,Nan,Nan,Nan
361,voithgmbh,,Nan
362,Nan,Nan,Nan
363,PicsureAI,178 Tweets,268
364,PlanBlueHQ,203 Tweets,853
365,virtualmin,592 Tweets,127
366,DB_Presse,"8,817 Tweets",925
367,TU_Dortmund,"1,922 Tweets",1441
368,virtualmin,592 Tweets,127
369,pluszehn,157 Tweets,68
370,cewefotobuch,"3,196 Tweets",280
371,Nan,Nan,Nan
372,Nan,Nan,Nan
373,Nan,Nan,Nan
374,conversario,2 Tweets,0
375,unihh,"8,398 Tweets",6785
376,VIER_Germany,620 Tweets,588
377,faznet,222K Tweets,1745
378,Premium_Aerotec,0 Tweets,0
379,Nan,Nan,Nan
380,UniHohenheim,"5,533 Tweets",1127
381,ruhrunibochum,12.8K Tweets,7334
382,PSIAG,"1,707 Tweets",617
383,QualiFiction,240 Tweets,239
384,Quizco_hannover,16 Tweets,5
