,id,label,description,instance,employees,TwitterUser,SocialMediaFollowers,Revenue
750,Q1290544,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,"research institution in Geesthacht, Germany",research institute,,,,
751,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
752,,,,,,,,
753,,,,,,,,
754,,,,,,,,
755,Q797059,BTC AG,company,business,,,,
756,,,,,,,,
757,Q129195,Technische Universität Ilmenau,university,public university,,,,
758,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
759,,,,,,,,
760,Q101835971,Universität Rostock Historisches Institut,research institute,research institute,,,,
761,,,,,,,,
762,Q310695,Technische Universität Darmstadt,university,public university,,TUDarmstadt,+8763,
763,,,,,,,,
764,,,,,,,,
765,,,,,,,,
766,Q472451,Siemens Healthineers,German company,business,,siemenshealth,+75996,
767,Q202952,Hochschule Mittweida,hochschule,university of applied sciences,,,,
768,Q129195,Technische Universität Ilmenau,university,public university,,,,
769,,,,,,,,
770,,,,,,,,
771,Q163566,KUKA,company,business,,KUKA_Press,,
772,Q129195,Technische Universität Ilmenau,university,public university,,,,
773,,,,,,,,
774,,,,,,,,
775,,,,,,,,
776,,,,,,,,
777,,,,,,,,
778,Q156737,University of Kiel,university in Germany,public university,,kieluni,+7569,
779,Q567371,Software AG,German software producer,software company,,SoftwareAG,+34716,
780,,,,,,,,
781,,,,,,,,
782,Q55672319,Maïotte Dauphite,,human,,,,
783,,,,,,,,
784,,,,,,,,
785,,,,,,,,
786,Q224514,Hochschule Hannover,German university of applied sciences and arts,university of applied sciences,,,,
787,,,,,,,,
788,,,,,,,,
789,,,,,,,,
790,,,,,,,,
791,,,,,,,,
792,,,,,,,,
793,,,,,,,,
794,,,,,,,,
795,,,,,,,,
796,,,,,,,,
797,,,,,,,,
798,,,,,,,,
799,Q101375785,Leibniz Universität Hannover Institut für Erdmessung,research institute,research institute,,,,
800,,,,,,,,
801,,,,,,,,
802,,,,,,,,
803,,,,,,,,
804,,,,,,,,
805,,,,,,,,
806,,,,,,,,
807,,,,,,,,
808,Q311394,Infineon Technologies,German high-tech company,commercial organization,+36299,Infineon,+16600,+8567000000
809,,,,,,,,
810,,,,,,,,
811,,,,,,,,
812,,,,,,,,
813,,,,,,,,
814,Q552581,SAP SE,German software producer,software company,+66500,SAP,,+23400000000
815,,,,,,,,
816,,,,,,,,
817,,,,,,,,
818,Q310695,Technische Universität Darmstadt,university,public university,,TUDarmstadt,+8763,
819,,,,,,,,
820,,,,,,,,
821,,,,,,,,
822,,,,,,,,
823,,,,,,,,
824,Q101375785,Leibniz Universität Hannover Institut für Erdmessung,research institute,research institute,,,,
825,,,,,,,,
826,,,,,,,,
827,,,,,,,,
828,Q1391231,Hochschule Stralsund,University of Applied Sciences in Germany,university of applied sciences,+240,HS_Stralsund,,
829,Q310695,Technische Universität Darmstadt,university,public university,,TUDarmstadt,+8763,
830,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
831,,,,,,,,
832,Q2124721,Innogy,German energy company,energy company,,innogy,+7961,
833,,,,,,,,
834,,,,,,,,
835,,,,,,,,
836,,,,,,,,
837,,,,,,,,
838,,,,,,,,
839,,,,,,,,
840,,,,,,,,
841,,,,,,,,
842,,,,,,,,
843,,,,,,,,
844,,,,,,,,
845,Q51985,Technical University of Berlin,"public research university in Berlin, Germany",public research university,+8428,TUBerlin,+17526,
846,,,,,,,,
847,,,,,,,,
848,,,,,,,,
849,,,,,,,,
850,Q20313071,AIUI,Wiktionary redirect,Wiktionary redirect,,,,
851,,,,,,,,
852,,,,,,,,
853,,,,,,,,
854,,,,,,,,
855,,,,,,,,
856,,,,,,,,
857,,,,,,,,
858,,,,,,,,
859,,,,,,,,
860,,,,,,,,
861,,,,,,,,
862,,,,,,,,
863,,,,,,,,
864,,,,,,,,
865,,,,,,,,
866,,,,,,,,
867,,,,,,,,
868,,,,,,,,
869,Q129195,Technische Universität Ilmenau,university,public university,,,,
870,Q152171,University of Bonn,"public research university located in Bonn, Germany",public research university,,unibonn,+18780,
871,,,,,,,,
872,,,,,,,,
873,,,,,,,,
874,,,,,,,,
875,,,,,,,,
876,,,,,,,,
877,,,,,,,,
878,,,,,,,,
879,,,,,,,,
880,,,,,,,,
881,,,,,,,,
882,,,,,,,,
883,,,,,,,,
884,,,,,,,,
885,,,,,,,,
886,,,,,,,,
887,,,,,,,,
888,Q51985,Technical University of Berlin,"public research university in Berlin, Germany",public research university,+8428,TUBerlin,+17526,
889,Q51985,Technical University of Berlin,"public research university in Berlin, Germany",public research university,+8428,TUBerlin,+17526,
890,,,,,,,,
891,,,,,,,,
892,,,,,,,,
893,,,,,,,,
894,,,,,,,,
895,,,,,,,,
896,,,,,,,,
897,,,,,,,,
898,,,,,,,,
899,,,,,,,,
900,,,,,,,,
901,Q273263,RWTH Aachen University,"university in Aachen, Germany",public university,,,,
902,Q2401561,Telefónica Deutschland,German telecommunications company,Aktiengesellschaft,,,,
903,,,,,,,,
904,,,,,,,,
905,,,,,,,,
906,,,,,,,,
907,,,,,,,,
908,Q1711557,Landesbetrieb Verkehr,,transport company,,,,
909,,,,,,,,
910,,,,,,,,
911,,,,,,,,
912,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
913,,,,,,,,
914,,,,,,,,
915,,,,,,,,
916,Q81230,Siemens,German multinational conglomerate,business,+370000,Siemens,+235000,+75636000000
917,,,,,,,,
918,,,,,,,,
919,,,,,,,,
920,,,,,,,,
921,,,,,,,,
922,,,,,,,,
923,,,,,,,,
924,,,,,,,,
925,,,,,,,,
926,,,,,,,,
927,Q101379797,Otto-Friedrich-Universität Bamberg Institut für Katholische Theologie,research institute,research institute,,,,
928,Q894374,Bosch Sicherheitssysteme,company,business,,,,
929,,,,,,,,
930,Q15822352,KPS AG,,public company,,,,
931,,,,,,,,
932,,,,,,,,
933,Q163241,Continental AG,German company in the automotive supplier industry,automotive supplier,+220137,ContiUK,+8140,+40549500000
934,,,,,,,,
935,,,,,,,,
936,,,,,,,,
937,Q101833288,Universität Augsburg Wirtschaftswissenschaftliche Fakultät,academic department,academic department,,,,
938,,,,,,,,
939,,,,,,,,
940,,,,,,,,
941,,,,,,,,
942,,,,,,,,
943,,,,,,,,
944,,,,,,,,
945,,,,,,,,
946,,,,,,,,
947,,,,,,,,
948,Q153006,Freie Universität Berlin,"public research university in Berlin, Germany",public research university,+4200,FU_Berlin,+21541,
949,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
950,Q830810,Premium AEROTEC,company,business,+8000,premium_aerotec,,
951,,,,,,,,
952,Q488048,PricewaterhouseCoopers,professional services networks,professional services network,+195000,PwCUS,+169950,+41300000000
953,,,,,,,,
954,,,,,,,,
955,Q2025693,Open Grid Europe,,business,,,,
956,,,,,,,,
957,,,,,,,,
958,,,,,,,,
959,Q552581,SAP SE,German software producer,software company,+66500,SAP,,+23400000000
960,,,,,,,,
961,,,,,,,,
962,,,,,,,,
963,,,,,,,,
964,,,,,,,,
965,,,,,,,,
966,Q338825,Accenture,"multinational management consulting, technology services and outsourcing company",business,+459000,Accenture,+510508,
967,,,,,,,,
968,,,,,,,,
969,,,,,,,,
970,,,,,,,,
971,,,,,,,,
972,Q59423676,Konux,internet of things start up company (e. 2014),enterprise,,,,
973,,,,,,,,
974,,,,,,,,
975,,,,,,,,
