,id,label,description,instance,employees,TwitterUser,SocialMediaFollowers,Revenue
224,Q157808,Technical University of Munich,public research university in Germany,institute of technology,+9595,TU_Muenchen,+33505,
225,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
226,,,,,,,,
227,,,,,,,,
228,,,,,,,,
229,,,,,,,,
230,Q101379797,Otto-Friedrich-Universität Bamberg Institut für Katholische Theologie,research institute,research institute,,,,
231,,,,,,,,
232,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
233,,,,,,,,
234,Q154804,Leipzig University,"university in Leipzig, Germany",public university,+5300,unileipzig,+13359,
235,,,,,,,,
236,,,,,,,,
237,,,,,,,,
238,,,,,,,,
239,,,,,,,,
240,Q2177249,Leverton,"village and civil parish in Boston district of Lincolnshire, England",village,,,,
241,,,,,,,,
242,Q797059,BTC AG,company,business,,,,
243,,,,,,,,
244,,,,,,,,
245,,,,,,,,
246,,,,,,,,
247,,,,,,,,
248,,,,,,,,
249,,,,,,,,
250,,,,,,,,
251,,,,,,,,
252,Q101833288,Universität Augsburg Wirtschaftswissenschaftliche Fakultät,academic department,academic department,,,,
253,Q877058,Sick,German company,business,,SICK_USA,+4795,
254,,,,,,,,
255,,,,,,,,
256,Q101833164,Technische Universität Kaiserslautern Fachbereich Biologie,academic department,academic department,,,,
257,,,,,,,,
258,,,,,,,,
259,,,,,,,,
260,Q161976,University of Würzburg,university in Germany,public university,,,,
261,,,,,,,,
262,,,,,,,,
263,,,,,,,,
264,Q152838,University of Göttingen,"university in the city of Göttingen, Germany",campus university,+12469,unigoettingen,+14798,
265,Q2124721,Innogy,German energy company,energy company,,innogy,+7961,
266,,,,,,,,
267,,,,,,,,
268,Q101426756,Universität Mannheim Lehrstuhl für Allgemeine Betriebswirtschaftslehre und Betriebswirtschaftliche Steuerlehre,business school,business school,,,,
269,,,,,,,,
270,,,,,,,,
271,,,,,,,,
272,,,,,,,,
273,,,,,,,,
274,,,,,,,,
275,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
276,Q2401561,Telefónica Deutschland,German telecommunications company,Aktiengesellschaft,,,,
277,,,,,,,,
278,,,,,,,,
279,,,,,,,,
280,,,,,,,,
281,,,,,,,,
282,,,,,,,,
283,,,,,,,,
284,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
285,,,,,,,,
286,,,,,,,,
287,,,,,,,,
288,,,,,,,,
289,,,,,,,,
290,,,,,,,,
291,,,,,,,,
292,,,,,,,,
293,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
294,,,,,,,,
295,,,,,,,,
296,,,,,,,,
297,,,,,,,,
298,,,,,,,,
299,,,,,,,,
300,,,,,,,,
301,Q50230431,DeepEyes: Progressive Visual Analytics for Designing Deep Neural Networks.,scientific article published on 29 August 2017,scholarly article,,,,
302,,,,,,,,
303,,,,,,,,
304,,,,,,,,
305,,,,,,,,
306,,,,,,,,
307,,,,,,,,
308,,,,,,,,
309,,,,,,,,
310,,,,,,,,
311,,,,,,,,
312,,,,,,,,
313,,,,,,,,
314,,,,,,,,
315,,,,,,,,
316,Q101833288,Universität Augsburg Wirtschaftswissenschaftliche Fakultät,academic department,academic department,,,,
317,,,,,,,,
318,,,,,,,,
319,,,,,,,,
320,,,,,,,,
321,,,,,,,,
322,,,,,,,,
323,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
324,,,,,,,,
325,,,,,,,,
326,,,,,,,,
327,,,,,,,,
328,Q685557,TU Dortmund,university in Dortmund,institute of technology,,TU_Dortmund,+13599,
329,,,,,,,,
330,,,,,,,,
331,Q152171,University of Bonn,"public research university located in Bonn, Germany",public research university,,unibonn,+18780,
332,,,,,,,,
333,,,,,,,,
334,,,,,,,,
335,,,,,,,,
336,Q263537,University of Applied Sciences Rosenheim,school,university of applied sciences,+420,,,
337,,,,,,,,
338,Q154561,University of Jena,"university located in Jena, Thuringia, Germany",public university,+6979,UniJena,+3414,
339,,,,,,,,
340,,,,,,,,
341,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
342,,,,,,,,
343,,,,,,,,
344,,,,,,,,
345,,,,,,,,
346,,,,,,,,
347,Q835440,University of Konstanz,"University in Konstanz, Germany",public university,,unikonstanz,+9784,
348,,,,,,,,
349,,,,,,,,
350,,,,,,,,
351,Q101833288,Universität Augsburg Wirtschaftswissenschaftliche Fakultät,academic department,academic department,,,,
352,,,,,,,,
353,,,,,,,,
354,Q2401561,Telefónica Deutschland,German telecommunications company,Aktiengesellschaft,,,,
355,,,,,,,,
356,,,,,,,,
357,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
358,,,,,,,,
359,Q234021,Robert Bosch GmbH,"German manufacturing company of automotive parts, household appliances, etc.",conglomerate,+400100,BoschGlobal,+253551,+73129000000
360,,,,,,,,
361,,,,,,,,
362,,,,,,,,
363,,,,,,,,
364,,,,,,,,
365,,,,,,,,
366,,,,,,,,
367,,,,,,,,
368,,,,,,,,
369,,,,,,,,
370,,,,,,,,
371,,,,,,,,
372,,,,,,,,
373,Q108294031,Franka Emika GmbH,,business,,,,
374,Q567371,Software AG,German software producer,software company,,SoftwareAG,+34716,
375,Q129195,Technische Universität Ilmenau,university,public university,,,,
376,Q530991,Helmut Schmidt University,University of the German Armed Forces in Hamburg for the academic study of officers,military school,+891,HSUHamburg,+2275,
377,,,,,,,,
378,,,,,,,,
379,Q129195,Technische Universität Ilmenau,university,public university,,,,
380,,,,,,,,
381,,,,,,,,
382,,,,,,,,
383,,,,,,,,
384,,,,,,,,
385,,,,,,,,
386,,,,,,,,
387,,,,,,,,
388,,,,,,,,
389,,,,,,,,
390,,,,,,,,
